Id,Time[ns],I²S
0,10005140.00000000000000000000,Right channel: 00000000
1,10038160.00000000000000000000,Left channel: 000014d5
2,10070160.00000000000000000000,Right channel: 00000000
3,10102160.00000000000000000000,Left channel: 0000179d
4,10134160.00000000000000000000,Right channel: 00000000
5,10166160.00000000000000000000,Left channel: 00000fd3
6,10198180.00000000000000000000,Right channel: 00000000
7,10230180.00000000000000000000,Left channel: 00001121
8,10262180.00000000000000000000,Right channel: 00000000
9,10294180.00000000000000000000,Left channel: 00000d0d
10,10326200.00000000000000000000,Right channel: 00000000
11,10358200.00000000000000000000,Left channel: 00001188
12,10390200.00000000000000000000,Right channel: 00000000
13,10422200.00000000000000000000,Left channel: 00000a2d
14,10454220.00000000000000000000,Right channel: 00000000
15,10486220.00000000000000000000,Left channel: 00001203
16,10518220.00000000000000000000,Right channel: 00000000
17,10550220.00000000000000000000,Left channel: 000012a3
18,10582240.00000000000000000000,Right channel: 00000000
19,10614240.00000000000000000000,Left channel: 000000dc
20,10646240.00000000000000000000,Right channel: 00000000
21,10678240.00000000000000000000,Left channel: 00001b5e
22,10710240.00000000000000000000,Right channel: 00000000
23,10742260.00000000000000000000,Left channel: 000003fb
24,10774260.00000000000000000000,Right channel: 00000000
25,10806260.00000000000000000000,Left channel: 000015e9
26,10838260.00000000000000000000,Right channel: 00000000
27,10870280.00000000000000000000,Left channel: 000002f8
28,10902280.00000000000000000000,Right channel: 00000000
29,10934280.00000000000000000000,Left channel: 000001c2
30,10966280.00000000000000000000,Right channel: 00000000
31,10998300.00000000000000000000,Left channel: 000014d5
32,11030300.00000000000000000000,Right channel: 00000000
33,11062300.00000000000000000000,Left channel: 00fffcf5
34,11094300.00000000000000000000,Right channel: 00000000
35,11126320.00000000000000000000,Left channel: 000007a1
36,11158320.00000000000000000000,Right channel: 00000000
37,11190320.00000000000000000000,Left channel: 000012fe
38,11222320.00000000000000000000,Right channel: 00000000
39,11254320.00000000000000000000,Left channel: 0000125b
40,11286340.00000000000000000000,Right channel: 00000000
41,11318340.00000000000000000000,Left channel: 00fffcb7
42,11350340.00000000000000000000,Right channel: 00000000
43,11382340.00000000000000000000,Left channel: 000004da
44,11414360.00000000000000000000,Right channel: 00000000
45,11446360.00000000000000000000,Left channel: 00001280
46,11478360.00000000000000000000,Right channel: 00000000
47,11510360.00000000000000000000,Left channel: 00fff97a
48,11542380.00000000000000000000,Right channel: 00000000
49,11574380.00000000000000000000,Left channel: 0000066f
50,11606380.00000000000000000000,Right channel: 00000000
51,11638380.00000000000000000000,Left channel: 00000fa4
52,11670400.00000000000000000000,Right channel: 00000000
53,11702400.00000000000000000000,Left channel: 00fff7ef
54,11734400.00000000000000000000,Right channel: 00000000
55,11766400.00000000000000000000,Left channel: 0000062d
56,11798400.00000000000000000000,Right channel: 00000000
57,11830420.00000000000000000000,Left channel: 00000db8
58,11862420.00000000000000000000,Right channel: 00000000
59,11894420.00000000000000000000,Left channel: 00001163
60,11926420.00000000000000000000,Right channel: 00000000
61,11958440.00000000000000000000,Left channel: 0000027f
62,11990440.00000000000000000000,Right channel: 00000000
63,12022440.00000000000000000000,Left channel: 000001c5
64,12054440.00000000000000000000,Right channel: 00000000
65,12086460.00000000000000000000,Left channel: 00fff9b0
66,12118460.00000000000000000000,Right channel: 00000000
67,12150460.00000000000000000000,Left channel: 00ffe80d
68,12182460.00000000000000000000,Right channel: 00000000
69,12214480.00000000000000000000,Left channel: 00ffe0a2
70,12246480.00000000000000000000,Right channel: 00000000
71,12278480.00000000000000000000,Left channel: 00008468
72,12310480.00000000000000000000,Right channel: 00000000
73,12342480.00000000000000000000,Left channel: 00008cdf
74,12374500.00000000000000000000,Right channel: 00000000
75,12406500.00000000000000000000,Left channel: 00ff7666
76,12438500.00000000000000000000,Right channel: 00000000
77,12470500.00000000000000000000,Left channel: 00001871
78,12502520.00000000000000000000,Right channel: 00000000
79,12534520.00000000000000000000,Left channel: 00ff5c59
80,12566520.00000000000000000000,Right channel: 00000000
81,12598520.00000000000000000000,Left channel: 0000f6e1
82,12630540.00000000000000000000,Right channel: 00000000
83,12662540.00000000000000000000,Left channel: 00fe9e38
84,12694540.00000000000000000000,Right channel: 00000000
85,12726540.00000000000000000000,Left channel: 000284d0
86,12758560.00000000000000000000,Right channel: 00000000
87,12790560.00000000000000000000,Left channel: 00072057
88,12822560.00000000000000000000,Right channel: 00000000
89,12854560.00000000000000000000,Left channel: 00dea158
90,12886560.00000000000000000000,Right channel: 00000000
91,12918580.00000000000000000000,Left channel: 00fcc416
92,12950580.00000000000000000000,Right channel: 00000000
93,12982580.00000000000000000000,Left channel: 000a9392
94,13014580.00000000000000000000,Right channel: 00000000
95,13046600.00000000000000000000,Left channel: 001147bf
96,13078600.00000000000000000000,Right channel: 00000000
97,13110600.00000000000000000000,Left channel: 00feaaf5
98,13142600.00000000000000000000,Right channel: 00000000
99,13174620.00000000000000000000,Left channel: 0003470a
100,13206620.00000000000000000000,Right channel: 00000000
101,13238620.00000000000000000000,Left channel: 000db084
102,13270620.00000000000000000000,Right channel: 00000000
103,13302640.00000000000000000000,Left channel: 001c38a7
104,13334640.00000000000000000000,Right channel: 00000000
105,13366640.00000000000000000000,Left channel: 0006cb1a
106,13398640.00000000000000000000,Right channel: 00000000
107,13430640.00000000000000000000,Left channel: 00ee259f
108,13462660.00000000000000000000,Right channel: 00000000
109,13494660.00000000000000000000,Left channel: 00e9eb0b
110,13526660.00000000000000000000,Right channel: 00000000
111,13558660.00000000000000000000,Left channel: 00006abc
112,13590680.00000000000000000000,Right channel: 00000000
113,13622680.00000000000000000000,Left channel: 00fb201c
114,13654680.00000000000000000000,Right channel: 00000000
115,13686680.00000000000000000000,Left channel: 00e783cf
116,13718700.00000000000000000000,Right channel: 00000000
117,13750700.00000000000000000000,Left channel: 00cebc92
