Id,Time[ns],I²S
0,10004760.00000000000000000000,Right channel: 00000000
1,10037760.00000000000000000000,Left channel: 00000352
2,10069760.00000000000000000000,Right channel: 00000000
3,10101780.00000000000000000000,Left channel: 0000005e
4,10133780.00000000000000000000,Right channel: 00000000
5,10165780.00000000000000000000,Left channel: 00ffff55
6,10197780.00000000000000000000,Right channel: 00000000
7,10229800.00000000000000000000,Left channel: 00000094
8,10261800.00000000000000000000,Right channel: 00000000
9,10293800.00000000000000000000,Left channel: 00000209
10,10325800.00000000000000000000,Right channel: 00000000
11,10357800.00000000000000000000,Left channel: 000006cf
12,10389820.00000000000000000000,Right channel: 00000000
13,10421820.00000000000000000000,Left channel: 00000456
14,10453820.00000000000000000000,Right channel: 00000000
15,10485820.00000000000000000000,Left channel: 00000030
16,10517840.00000000000000000000,Right channel: 00000000
17,10549840.00000000000000000000,Left channel: 0000045b
18,10581840.00000000000000000000,Right channel: 00000000
19,10613840.00000000000000000000,Left channel: 000004c3
20,10645860.00000000000000000000,Right channel: 00000000
21,10677860.00000000000000000000,Left channel: 000005eb
22,10709860.00000000000000000000,Right channel: 00000000
23,10741860.00000000000000000000,Left channel: 0000059d
24,10773880.00000000000000000000,Right channel: 00000000
25,10805880.00000000000000000000,Left channel: 0000040e
26,10837880.00000000000000000000,Right channel: 00000000
27,10869880.00000000000000000000,Left channel: 000004e6
28,10901880.00000000000000000000,Right channel: 00000000
29,10933900.00000000000000000000,Left channel: 000002ad
30,10965900.00000000000000000000,Right channel: 00000000
31,10997900.00000000000000000000,Left channel: 00ffffed
32,11029900.00000000000000000000,Right channel: 00000000
33,11061920.00000000000000000000,Left channel: 0000040e
34,11093920.00000000000000000000,Right channel: 00000000
35,11125920.00000000000000000000,Left channel: 00000537
36,11157920.00000000000000000000,Right channel: 00000000
37,11189940.00000000000000000000,Left channel: 000004d2
38,11221940.00000000000000000000,Right channel: 00000000
39,11253940.00000000000000000000,Left channel: 0000010c
40,11285940.00000000000000000000,Right channel: 00000000
41,11317940.00000000000000000000,Left channel: 0000025d
42,11349960.00000000000000000000,Right channel: 00000000
43,11381960.00000000000000000000,Left channel: 0000026c
44,11413960.00000000000000000000,Right channel: 00000000
45,11445960.00000000000000000000,Left channel: 0000011d
46,11477980.00000000000000000000,Right channel: 00000000
47,11509980.00000000000000000000,Left channel: 00000304
48,11541980.00000000000000000000,Right channel: 00000000
49,11573980.00000000000000000000,Left channel: 00000263
50,11606000.00000000000000000000,Right channel: 00000000
51,11638000.00000000000000000000,Left channel: 00000b75
52,11670000.00000000000000000000,Right channel: 00000000
53,11702000.00000000000000000000,Left channel: 00001e64
54,11734020.00000000000000000000,Right channel: 00000000
55,11766020.00000000000000000000,Left channel: 0000060f
56,11798020.00000000000000000000,Right channel: 00000000
57,11830020.00000000000000000000,Left channel: 00000a0d
58,11862040.00000000000000000000,Right channel: 00000000
59,11894040.00000000000000000000,Left channel: 00000184
60,11926040.00000000000000000000,Right channel: 00000000
61,11958040.00000000000000000000,Left channel: 00ffc730
62,11990040.00000000000000000000,Right channel: 00000000
63,12022060.00000000000000000000,Left channel: 00001d87
64,12054060.00000000000000000000,Right channel: 00000000
65,12086060.00000000000000000000,Left channel: 0000d7ec
66,12118060.00000000000000000000,Right channel: 00000000
67,12150080.00000000000000000000,Left channel: 000128e7
68,12182080.00000000000000000000,Right channel: 00000000
69,12214080.00000000000000000000,Left channel: 00ff67ad
70,12246080.00000000000000000000,Right channel: 00000000
71,12278100.00000000000000000000,Left channel: 00fff466
72,12310100.00000000000000000000,Right channel: 00000000
73,12342100.00000000000000000000,Left channel: 00fee27f
74,12374100.00000000000000000000,Right channel: 00000000
75,12406100.00000000000000000000,Left channel: 0001d835
76,12438120.00000000000000000000,Right channel: 00000000
77,12470120.00000000000000000000,Left channel: 00fd3f5c
78,12502120.00000000000000000000,Right channel: 00000000
79,12534120.00000000000000000000,Left channel: 000a5ddb
80,12566140.00000000000000000000,Right channel: 00000000
81,12598140.00000000000000000000,Left channel: 00f8f3c2
82,12630140.00000000000000000000,Right channel: 00000000
83,12662140.00000000000000000000,Left channel: 00d56ae8
84,12694160.00000000000000000000,Right channel: 00000000
85,12726160.00000000000000000000,Left channel: 00e8c4a9
86,12758160.00000000000000000000,Right channel: 00000000
87,12790160.00000000000000000000,Left channel: 0014714f
88,12822180.00000000000000000000,Right channel: 00000000
