Id,Time[ns],I²S
0,10005380.00000000000000000000,Right channel: 00000000
1,10038400.00000000000000000000,Left channel: 00002bd9
2,10070400.00000000000000000000,Right channel: 00000000
3,10102400.00000000000000000000,Left channel: 000007ad
4,10134400.00000000000000000000,Right channel: 00000000
5,10166420.00000000000000000000,Left channel: 00ffe023
6,10198420.00000000000000000000,Right channel: 00000000
7,10230420.00000000000000000000,Left channel: 00ffe878
8,10262420.00000000000000000000,Right channel: 00000000
9,10294440.00000000000000000000,Left channel: 00000672
10,10326440.00000000000000000000,Right channel: 00000000
11,10358440.00000000000000000000,Left channel: 00001ab6
12,10390440.00000000000000000000,Right channel: 00000000
13,10422460.00000000000000000000,Left channel: 00000cc9
14,10454460.00000000000000000000,Right channel: 00000000
15,10486460.00000000000000000000,Left channel: 00ffecd8
16,10518460.00000000000000000000,Right channel: 00000000
17,10550460.00000000000000000000,Left channel: 00ffdbbf
18,10582480.00000000000000000000,Right channel: 00000000
19,10614480.00000000000000000000,Left channel: 00fffabf
20,10646480.00000000000000000000,Right channel: 00000000
21,10678480.00000000000000000000,Left channel: 00002476
22,10710500.00000000000000000000,Right channel: 00000000
23,10742500.00000000000000000000,Left channel: 00002f4e
24,10774500.00000000000000000000,Right channel: 00000000
25,10806500.00000000000000000000,Left channel: 00000420
26,10838520.00000000000000000000,Right channel: 00000000
27,10870520.00000000000000000000,Left channel: 00ffdb6b
28,10902520.00000000000000000000,Right channel: 00000000
29,10934520.00000000000000000000,Left channel: 00ffd886
30,10966520.00000000000000000000,Right channel: 00000000
31,10998540.00000000000000000000,Left channel: 00fff935
32,11030540.00000000000000000000,Right channel: 00000000
33,11062540.00000000000000000000,Left channel: 00001a21
34,11094540.00000000000000000000,Right channel: 00000000
35,11126560.00000000000000000000,Left channel: 00001414
36,11158560.00000000000000000000,Right channel: 00000000
37,11190560.00000000000000000000,Left channel: 00fff46c
38,11222560.00000000000000000000,Right channel: 00000000
39,11254580.00000000000000000000,Left channel: 00ffdee1
40,11286580.00000000000000000000,Right channel: 00000000
41,11318580.00000000000000000000,Left channel: 00ffee9d
42,11350580.00000000000000000000,Right channel: 00000000
43,11382600.00000000000000000000,Left channel: 00001442
44,11414600.00000000000000000000,Right channel: 00000000
45,11446600.00000000000000000000,Left channel: 00002958
46,11478600.00000000000000000000,Right channel: 00000000
47,11510600.00000000000000000000,Left channel: 00001665
48,11542620.00000000000000000000,Right channel: 00000000
49,11574620.00000000000000000000,Left channel: 00ffe968
50,11606620.00000000000000000000,Right channel: 00000000
51,11638620.00000000000000000000,Left channel: 00fff098
52,11670640.00000000000000000000,Right channel: 00000000
53,11702640.00000000000000000000,Left channel: 00002431
54,11734640.00000000000000000000,Right channel: 00000000
55,11766640.00000000000000000000,Left channel: 000039da
56,11798660.00000000000000000000,Right channel: 00000000
57,11830660.00000000000000000000,Left channel: 00003ff2
58,11862660.00000000000000000000,Right channel: 00000000
59,11894660.00000000000000000000,Left channel: 00000505
60,11926680.00000000000000000000,Right channel: 00000000
61,11958680.00000000000000000000,Left channel: 00ffa6aa
62,11990680.00000000000000000000,Right channel: 00000000
63,12022680.00000000000000000000,Left channel: 00000361
64,12054680.00000000000000000000,Right channel: 00000000
65,12086700.00000000000000000000,Left channel: 0000e18b
66,12118700.00000000000000000000,Right channel: 00000000
67,12150700.00000000000000000000,Left channel: 00014d5f
68,12182700.00000000000000000000,Right channel: 00000000
69,12214720.00000000000000000000,Left channel: 00ff7fd7
70,12246720.00000000000000000000,Right channel: 00000000
71,12278720.00000000000000000000,Left channel: 00ffdd80
72,12310720.00000000000000000000,Right channel: 00000000
73,12342740.00000000000000000000,Left channel: 00feba14
74,12374740.00000000000000000000,Right channel: 00000000
75,12406740.00000000000000000000,Left channel: 0001ced4
76,12438740.00000000000000000000,Right channel: 00000000
77,12470760.00000000000000000000,Left channel: 00fd5117
78,12502760.00000000000000000000,Right channel: 00000000
79,12534760.00000000000000000000,Left channel: 000a8fab
80,12566760.00000000000000000000,Right channel: 00000000
81,12598760.00000000000000000000,Left channel: 00f8addb
82,12630780.00000000000000000000,Right channel: 00000000
83,12662780.00000000000000000000,Left channel: 00d6d298
84,12694780.00000000000000000000,Right channel: 00000000
85,12726780.00000000000000000000,Left channel: 00e7b24a
86,12758800.00000000000000000000,Right channel: 00000000
87,12790800.00000000000000000000,Left channel: 0013a578
88,12822800.00000000000000000000,Right channel: 00000000
89,12854800.00000000000000000000,Left channel: 0020985e
90,12886820.00000000000000000000,Right channel: 00000000
91,12918820.00000000000000000000,Left channel: 00095c5b
92,12950820.00000000000000000000,Right channel: 00000000
93,12982820.00000000000000000000,Left channel: 0000dc72
94,13014840.00000000000000000000,Right channel: 00000000
95,13046840.00000000000000000000,Left channel: 0025b757
96,13078840.00000000000000000000,Right channel: 00000000
97,13110840.00000000000000000000,Left channel: 0037c98e
98,13142840.00000000000000000000,Right channel: 00000000
99,13174860.00000000000000000000,Left channel: 0012d16c
100,13206860.00000000000000000000,Right channel: 00000000
101,13238860.00000000000000000000,Left channel: 00e625df
102,13270860.00000000000000000000,Right channel: 00000000
103,13302880.00000000000000000000,Left channel: 00dd49c4
104,13334880.00000000000000000000,Right channel: 00000000
105,13366880.00000000000000000000,Left channel: 00eec9cc
106,13398880.00000000000000000000,Right channel: 00000000
107,13430900.00000000000000000000,Left channel: 00f8def4
108,13462900.00000000000000000000,Right channel: 00000000
109,13494900.00000000000000000000,Left channel: 00c7fb5c
110,13526900.00000000000000000000,Right channel: 00000000
111,13558920.00000000000000000000,Left channel: 00bc1b07
112,13590920.00000000000000000000,Right channel: 00000000
113,13622920.00000000000000000000,Left channel: 00316374
114,13654920.00000000000000000000,Right channel: 00000000
115,13686920.00000000000000000000,Left channel: 0057b638
116,13718940.00000000000000000000,Right channel: 00000000
117,13750940.00000000000000000000,Left channel: 0024b74e
118,13782940.00000000000000000000,Right channel: 00000000
119,13814940.00000000000000000000,Left channel: 0001b75c
120,13846960.00000000000000000000,Right channel: 00000000
121,13878960.00000000000000000000,Left channel: 0016fee4
122,13910960.00000000000000000000,Right channel: 00000000
123,13942960.00000000000000000000,Left channel: 001efb94
124,13974980.00000000000000000000,Right channel: 00000000
125,14006980.00000000000000000000,Left channel: 00fdf8df
126,14038980.00000000000000000000,Right channel: 00000000
127,14070980.00000000000000000000,Left channel: 00e20992
128,14103000.00000000000000000000,Right channel: 00000000
129,14135000.00000000000000000000,Left channel: 00dbca80
130,14167000.00000000000000000000,Right channel: 00000000
131,14199000.00000000000000000000,Left channel: 00d1e087
132,14231000.00000000000000000000,Right channel: 00000000
133,14263020.00000000000000000000,Left channel: 00dd312c
134,14295020.00000000000000000000,Right channel: 00000000
135,14327020.00000000000000000000,Left channel: 00ef8c96
136,14359020.00000000000000000000,Right channel: 00000000
137,14391040.00000000000000000000,Left channel: 00f725f8
138,14423040.00000000000000000000,Right channel: 00000000
139,14455040.00000000000000000000,Left channel: 0001889e
140,14487040.00000000000000000000,Right channel: 00000000
141,14519060.00000000000000000000,Left channel: 001aa4f6
142,14551060.00000000000000000000,Right channel: 00000000
143,14583060.00000000000000000000,Left channel: 00274d23
144,14615060.00000000000000000000,Right channel: 00000000
145,14647080.00000000000000000000,Left channel: 001c0153
146,14679080.00000000000000000000,Right channel: 00000000
147,14711080.00000000000000000000,Left channel: 000442df
148,14743080.00000000000000000000,Right channel: 00000000
149,14775080.00000000000000000000,Left channel: 00f86208
150,14807100.00000000000000000000,Right channel: 00000000
151,14839100.00000000000000000000,Left channel: 00e79fc2
152,14871100.00000000000000000000,Right channel: 00000000
153,14903100.00000000000000000000,Left channel: 00dd03e6
154,14935120.00000000000000000000,Right channel: 00000000
155,14967120.00000000000000000000,Left channel: 00ea10b5
156,14999120.00000000000000000000,Right channel: 00000000
157,15031120.00000000000000000000,Left channel: 00f03023
158,15063140.00000000000000000000,Right channel: 00000000
159,15095140.00000000000000000000,Left channel: 00fc0bc7
160,15127140.00000000000000000000,Right channel: 00000000
161,15159140.00000000000000000000,Left channel: 0013a21b
162,15191160.00000000000000000000,Right channel: 00000000
163,15223160.00000000000000000000,Left channel: 00242e82
164,15255160.00000000000000000000,Right channel: 00000000
165,15287160.00000000000000000000,Left channel: 0020c323
166,15319160.00000000000000000000,Right channel: 00000000
167,15351180.00000000000000000000,Left channel: 000885f7
168,15383180.00000000000000000000,Right channel: 00000000
169,15415180.00000000000000000000,Left channel: 00f91980
170,15447180.00000000000000000000,Right channel: 00000000
171,15479200.00000000000000000000,Left channel: 00fe7136
172,15511200.00000000000000000000,Right channel: 00000000
173,15543200.00000000000000000000,Left channel: 0003e7b2
174,15575200.00000000000000000000,Right channel: 00000000
175,15607220.00000000000000000000,Left channel: 00fae68e
176,15639220.00000000000000000000,Right channel: 00000000
177,15671220.00000000000000000000,Left channel: 00ec10d5
178,15703220.00000000000000000000,Right channel: 00000000
179,15735220.00000000000000000000,Left channel: 00f208b2
180,15767240.00000000000000000000,Right channel: 00000000
181,15799240.00000000000000000000,Left channel: 000267ef
182,15831240.00000000000000000000,Right channel: 00000000
183,15863240.00000000000000000000,Left channel: 000fb8b8
184,15895260.00000000000000000000,Right channel: 00000000
185,15927260.00000000000000000000,Left channel: 001370f2
186,15959260.00000000000000000000,Right channel: 00000000
187,15991260.00000000000000000000,Left channel: 00177d42
188,16023280.00000000000000000000,Right channel: 00000000
189,16055280.00000000000000000000,Left channel: 0010a096
190,16087280.00000000000000000000,Right channel: 00000000
191,16119280.00000000000000000000,Left channel: 00fd8350
192,16151300.00000000000000000000,Right channel: 00000000
193,16183300.00000000000000000000,Left channel: 00f8f530
194,16215300.00000000000000000000,Right channel: 00000000
195,16247300.00000000000000000000,Left channel: 00ff4527
196,16279300.00000000000000000000,Right channel: 00000000
197,16311320.00000000000000000000,Left channel: 00fc91d7
198,16343320.00000000000000000000,Right channel: 00000000
199,16375320.00000000000000000000,Left channel: 00efeb62
200,16407320.00000000000000000000,Right channel: 00000000
201,16439340.00000000000000000000,Left channel: 00f209df
202,16471340.00000000000000000000,Right channel: 00000000
203,16503340.00000000000000000000,Left channel: 0005f74e
204,16535340.00000000000000000000,Right channel: 00000000
205,16567360.00000000000000000000,Left channel: 0009cd3c
206,16599360.00000000000000000000,Right channel: 00000000
207,16631360.00000000000000000000,Left channel: 00023d8a
208,16663360.00000000000000000000,Right channel: 00000000
209,16695380.00000000000000000000,Left channel: 0005eb60
210,16727380.00000000000000000000,Right channel: 00000000
211,16759380.00000000000000000000,Left channel: 000cef4d
212,16791380.00000000000000000000,Right channel: 00000000
213,16823380.00000000000000000000,Left channel: 000970cc
214,16855400.00000000000000000000,Right channel: 00000000
215,16887400.00000000000000000000,Left channel: 00fc849a
216,16919400.00000000000000000000,Right channel: 00000000
217,16951400.00000000000000000000,Left channel: 00f2a6bf
218,16983420.00000000000000000000,Right channel: 00000000
219,17015420.00000000000000000000,Left channel: 00f49d43
220,17047420.00000000000000000000,Right channel: 00000000
221,17079420.00000000000000000000,Left channel: 0002f748
222,17111440.00000000000000000000,Right channel: 00000000
223,17143440.00000000000000000000,Left channel: 00025214
224,17175440.00000000000000000000,Right channel: 00000000
225,17207440.00000000000000000000,Left channel: 00f948ca
226,17239460.00000000000000000000,Right channel: 00000000
227,17271460.00000000000000000000,Left channel: 00fd6719
228,17303460.00000000000000000000,Right channel: 00000000
229,17335460.00000000000000000000,Left channel: 000709ae
230,17367460.00000000000000000000,Right channel: 00000000
231,17399480.00000000000000000000,Left channel: 0009aa8f
232,17431480.00000000000000000000,Right channel: 00000000
233,17463480.00000000000000000000,Left channel: 00ff7145
234,17495480.00000000000000000000,Right channel: 00000000
235,17527500.00000000000000000000,Left channel: 00fcccc1
236,17559500.00000000000000000000,Right channel: 00000000
237,17591500.00000000000000000000,Left channel: 00fe90e6
238,17623500.00000000000000000000,Right channel: 00000000
239,17655520.00000000000000000000,Left channel: 00fb1f5a
240,17687520.00000000000000000000,Right channel: 00000000
241,17719520.00000000000000000000,Left channel: 00f78464
242,17751520.00000000000000000000,Right channel: 00000000
243,17783540.00000000000000000000,Left channel: 00f95cd6
244,17815540.00000000000000000000,Right channel: 00000000
245,17847540.00000000000000000000,Left channel: 00ff4d09
246,17879540.00000000000000000000,Right channel: 00000000
247,17911540.00000000000000000000,Left channel: 00fe7003
248,17943560.00000000000000000000,Right channel: 00000000
249,17975560.00000000000000000000,Left channel: 00fe94cd
250,18007560.00000000000000000000,Right channel: 00000000
251,18039560.00000000000000000000,Left channel: 0000f0e0
252,18071580.00000000000000000000,Right channel: 00000000
253,18103580.00000000000000000000,Left channel: 00028bcc
254,18135580.00000000000000000000,Right channel: 00000000
255,18167580.00000000000000000000,Left channel: 00027db2
256,18199600.00000000000000000000,Right channel: 00000000
257,18231600.00000000000000000000,Left channel: 00025acb
258,18263600.00000000000000000000,Right channel: 00000000
259,18295600.00000000000000000000,Left channel: 00007b52
260,18327620.00000000000000000000,Right channel: 00000000
261,18359620.00000000000000000000,Left channel: 00fd2a71
262,18391620.00000000000000000000,Right channel: 00000000
263,18423620.00000000000000000000,Left channel: 00f991c5
264,18455620.00000000000000000000,Right channel: 00000000
265,18487640.00000000000000000000,Left channel: 00f8fe56
266,18519640.00000000000000000000,Right channel: 00000000
267,18551640.00000000000000000000,Left channel: 00f9206b
268,18583640.00000000000000000000,Right channel: 00000000
269,18615660.00000000000000000000,Left channel: 00fde85e
270,18647660.00000000000000000000,Right channel: 00000000
271,18679660.00000000000000000000,Left channel: 00018c35
272,18711660.00000000000000000000,Right channel: 00000000
273,18743680.00000000000000000000,Left channel: 00038c2c
274,18775680.00000000000000000000,Right channel: 00000000
275,18807680.00000000000000000000,Left channel: 0004556c
276,18839680.00000000000000000000,Right channel: 00000000
277,18871700.00000000000000000000,Left channel: 0006a6f5
278,18903700.00000000000000000000,Right channel: 00000000
279,18935700.00000000000000000000,Left channel: 0005a4d8
280,18967700.00000000000000000000,Right channel: 00000000
281,18999700.00000000000000000000,Left channel: 0000e0a5
282,19031720.00000000000000000000,Right channel: 00000000
283,19063720.00000000000000000000,Left channel: 00fdd071
284,19095720.00000000000000000000,Right channel: 00000000
285,19127720.00000000000000000000,Left channel: 00014302
286,19159740.00000000000000000000,Right channel: 00000000
287,19191740.00000000000000000000,Left channel: 0003b522
288,19223740.00000000000000000000,Right channel: 00000000
289,19255740.00000000000000000000,Left channel: 00ff6897
290,19287760.00000000000000000000,Right channel: 00000000
291,19319760.00000000000000000000,Left channel: 00fcf965
292,19351760.00000000000000000000,Right channel: 00000000
293,19383760.00000000000000000000,Left channel: 0001aee6
294,19415780.00000000000000000000,Right channel: 00000000
295,19447780.00000000000000000000,Left channel: 00025247
296,19479780.00000000000000000000,Right channel: 00000000
297,19511780.00000000000000000000,Left channel: 00ff76aa
298,19543780.00000000000000000000,Right channel: 00000000
299,19575800.00000000000000000000,Left channel: 00fec945
300,19607800.00000000000000000000,Right channel: 00000000
301,19639800.00000000000000000000,Left channel: 00fe74de
302,19671800.00000000000000000000,Right channel: 00000000
303,19703820.00000000000000000000,Left channel: 00ffcabd
304,19735820.00000000000000000000,Right channel: 00000000
305,19767820.00000000000000000000,Left channel: 00ffb01a
306,19799820.00000000000000000000,Right channel: 00000000
307,19831840.00000000000000000000,Left channel: 00ff5d52
308,19863840.00000000000000000000,Right channel: 00000000
309,19895840.00000000000000000000,Left channel: 00ff54c1
310,19927840.00000000000000000000,Right channel: 00000000
311,19959860.00000000000000000000,Left channel: 00ff3372
312,19991860.00000000000000000000,Right channel: 00000000
313,20023860.00000000000000000000,Left channel: 0002bd66
314,20055860.00000000000000000000,Right channel: 00000000
315,20087860.00000000000000000000,Left channel: 000257a1
316,20119880.00000000000000000000,Right channel: 00000000
317,20151880.00000000000000000000,Left channel: 00fda51d
318,20183880.00000000000000000000,Right channel: 00000000
319,20215880.00000000000000000000,Left channel: 00fd034e
320,20247900.00000000000000000000,Right channel: 00000000
321,20279900.00000000000000000000,Left channel: 00fc7266
322,20311900.00000000000000000000,Right channel: 00000000
323,20343900.00000000000000000000,Left channel: 00ffc095
324,20375920.00000000000000000000,Right channel: 00000000
325,20407920.00000000000000000000,Left channel: 000246ae
326,20439920.00000000000000000000,Right channel: 00000000
327,20471920.00000000000000000000,Left channel: 00002b47
328,20503940.00000000000000000000,Right channel: 00000000
329,20535940.00000000000000000000,Left channel: 000035dc
330,20567940.00000000000000000000,Right channel: 00000000
331,20599940.00000000000000000000,Left channel: 00012f0d
332,20631940.00000000000000000000,Right channel: 00000000
333,20663960.00000000000000000000,Left channel: 000206c7
334,20695960.00000000000000000000,Right channel: 00000000
335,20727960.00000000000000000000,Left channel: 0003cc87
336,20759960.00000000000000000000,Right channel: 00000000
337,20791980.00000000000000000000,Left channel: 00030571
338,20823980.00000000000000000000,Right channel: 00000000
339,20855980.00000000000000000000,Left channel: 00fed52d
340,20887980.00000000000000000000,Right channel: 00000000
341,20920000.00000000000000000000,Left channel: 00fb1497
342,20952000.00000000000000000000,Right channel: 00000000
343,20984000.00000000000000000000,Left channel: 00fc9221
344,21016000.00000000000000000000,Right channel: 00000000
345,21048000.00000000000000000000,Left channel: 00fea387
346,21080020.00000000000000000000,Right channel: 00000000
347,21112020.00000000000000000000,Left channel: 00fba407
348,21144020.00000000000000000000,Right channel: 00000000
349,21176020.00000000000000000000,Left channel: 00fae1e9
350,21208040.00000000000000000000,Right channel: 00000000
351,21240040.00000000000000000000,Left channel: 00ff2c31
352,21272040.00000000000000000000,Right channel: 00000000
353,21304040.00000000000000000000,Left channel: 00062f35
354,21336060.00000000000000000000,Right channel: 00000000
355,21368060.00000000000000000000,Left channel: 0005ed60
356,21400060.00000000000000000000,Right channel: 00000000
357,21432060.00000000000000000000,Left channel: 00015b6b
358,21464080.00000000000000000000,Right channel: 00000000
