Id,Time[ns],I²S
0,10004340.00000000000000000000,Right channel: 00000000
1,10037340.00000000000000000000,Left channel: 00fffe13
2,10069340.00000000000000000000,Right channel: 00000000
3,10101360.00000000000000000000,Left channel: 00000346
4,10133360.00000000000000000000,Right channel: 00000000
5,10165360.00000000000000000000,Left channel: 000006e3
6,10197360.00000000000000000000,Right channel: 00000000
7,10229360.00000000000000000000,Left channel: 000006fb
8,10261380.00000000000000000000,Right channel: 00000000
9,10293380.00000000000000000000,Left channel: 00000372
10,10325380.00000000000000000000,Right channel: 00000000
11,10357380.00000000000000000000,Left channel: 0000097b
12,10389400.00000000000000000000,Right channel: 00000000
13,10421400.00000000000000000000,Left channel: 00000a33
14,10453400.00000000000000000000,Right channel: 00000000
15,10485400.00000000000000000000,Left channel: 00000efb
16,10517420.00000000000000000000,Right channel: 00000000
17,10549420.00000000000000000000,Left channel: 00000bed
18,10581420.00000000000000000000,Right channel: 00000000
19,10613420.00000000000000000000,Left channel: 00000aa3
20,10645440.00000000000000000000,Right channel: 00000000
21,10677440.00000000000000000000,Left channel: 00000c6e
22,10709440.00000000000000000000,Right channel: 00000000
23,10741440.00000000000000000000,Left channel: 00000a96
24,10773440.00000000000000000000,Right channel: 00000000
25,10805460.00000000000000000000,Left channel: 0000053f
26,10837460.00000000000000000000,Right channel: 00000000
27,10869460.00000000000000000000,Left channel: 0000057d
28,10901460.00000000000000000000,Right channel: 00000000
29,10933480.00000000000000000000,Left channel: 00000558
30,10965480.00000000000000000000,Right channel: 00000000
31,10997480.00000000000000000000,Left channel: 000007be
32,11029480.00000000000000000000,Right channel: 00000000
33,11061500.00000000000000000000,Left channel: 00000637
34,11093500.00000000000000000000,Right channel: 00000000
35,11125500.00000000000000000000,Left channel: 00000905
36,11157500.00000000000000000000,Right channel: 00000000
37,11189520.00000000000000000000,Left channel: 00000c66
38,11221520.00000000000000000000,Right channel: 00000000
39,11253520.00000000000000000000,Left channel: 00000cba
40,11285520.00000000000000000000,Right channel: 00000000
41,11317520.00000000000000000000,Left channel: 00000e31
42,11349540.00000000000000000000,Right channel: 00000000
43,11381540.00000000000000000000,Left channel: 00000f13
44,11413540.00000000000000000000,Right channel: 00000000
45,11445540.00000000000000000000,Left channel: 00000fff
46,11477560.00000000000000000000,Right channel: 00000000
47,11509560.00000000000000000000,Left channel: 000017a3
48,11541560.00000000000000000000,Right channel: 00000000
49,11573560.00000000000000000000,Left channel: 000008fa
50,11605580.00000000000000000000,Right channel: 00000000
51,11637580.00000000000000000000,Left channel: 00002229
52,11669580.00000000000000000000,Right channel: 00000000
53,11701580.00000000000000000000,Left channel: 000022b8
54,11733600.00000000000000000000,Right channel: 00000000
55,11765600.00000000000000000000,Left channel: 00003fa4
