Id,Time[ns],I²S
0,10005220.00000000000000000000,Right channel: 00000000
1,10038220.00000000000000000000,Left channel: 0000012a
2,10070220.00000000000000000000,Right channel: 00000000
3,10102220.00000000000000000000,Left channel: 000005bf
4,10134240.00000000000000000000,Right channel: 00000000
5,10166240.00000000000000000000,Left channel: 00fffe3a
6,10198240.00000000000000000000,Right channel: 00000000
7,10230240.00000000000000000000,Left channel: 00fff2ec
8,10262260.00000000000000000000,Right channel: 00000000
9,10294260.00000000000000000000,Left channel: 00fff318
10,10326260.00000000000000000000,Right channel: 00000000
11,10358260.00000000000000000000,Left channel: 00ffeec4
12,10390280.00000000000000000000,Right channel: 00000000
13,10422280.00000000000000000000,Left channel: 00ffecbd
14,10454280.00000000000000000000,Right channel: 00000000
15,10486280.00000000000000000000,Left channel: 00ffed39
16,10518280.00000000000000000000,Right channel: 00000000
17,10550300.00000000000000000000,Left channel: 00ffecb1
18,10582300.00000000000000000000,Right channel: 00000000
19,10614300.00000000000000000000,Left channel: 00fff1fa
20,10646300.00000000000000000000,Right channel: 00000000
21,10678320.00000000000000000000,Left channel: 00fff5de
22,10710320.00000000000000000000,Right channel: 00000000
23,10742320.00000000000000000000,Left channel: 00fff5be
24,10774320.00000000000000000000,Right channel: 00000000
25,10806340.00000000000000000000,Left channel: 00ffed46
26,10838340.00000000000000000000,Right channel: 00000000
27,10870340.00000000000000000000,Left channel: 00ffe85a
28,10902340.00000000000000000000,Right channel: 00000000
29,10934360.00000000000000000000,Left channel: 00ffec46
30,10966360.00000000000000000000,Right channel: 00000000
31,10998360.00000000000000000000,Left channel: 00fff9cd
32,11030360.00000000000000000000,Right channel: 00000000
33,11062360.00000000000000000000,Left channel: 00fff7e9
34,11094380.00000000000000000000,Right channel: 00000000
35,11126380.00000000000000000000,Left channel: 00fffb88
36,11158380.00000000000000000000,Right channel: 00000000
37,11190380.00000000000000000000,Left channel: 00fff6f0
38,11222400.00000000000000000000,Right channel: 00000000
39,11254400.00000000000000000000,Left channel: 00fff541
40,11286400.00000000000000000000,Right channel: 00000000
41,11318400.00000000000000000000,Left channel: 00fff186
42,11350420.00000000000000000000,Right channel: 00000000
43,11382420.00000000000000000000,Left channel: 00ffebf1
44,11414420.00000000000000000000,Right channel: 00000000
45,11446420.00000000000000000000,Left channel: 00ffed64
46,11478420.00000000000000000000,Right channel: 00000000
47,11510440.00000000000000000000,Left channel: 00ffeeb0
48,11542440.00000000000000000000,Right channel: 00000000
49,11574440.00000000000000000000,Left channel: 00fff41a
50,11606440.00000000000000000000,Right channel: 00000000
51,11638460.00000000000000000000,Left channel: 000002ef
52,11670460.00000000000000000000,Right channel: 00000000
53,11702460.00000000000000000000,Left channel: 0000192c
54,11734460.00000000000000000000,Right channel: 00000000
55,11766480.00000000000000000000,Left channel: 00000486
56,11798480.00000000000000000000,Right channel: 00000000
57,11830480.00000000000000000000,Left channel: 0000015f
58,11862480.00000000000000000000,Right channel: 00000000
59,11894500.00000000000000000000,Left channel: 00fff5d5
60,11926500.00000000000000000000,Right channel: 00000000
61,11958500.00000000000000000000,Left channel: 00ffbe65
62,11990500.00000000000000000000,Right channel: 00000000
63,12022520.00000000000000000000,Left channel: 00001ae5
64,12054520.00000000000000000000,Right channel: 00000000
65,12086520.00000000000000000000,Left channel: 0000cc61
66,12118520.00000000000000000000,Right channel: 00000000
67,12150520.00000000000000000000,Left channel: 00011439
68,12182540.00000000000000000000,Right channel: 00000000
69,12214540.00000000000000000000,Left channel: 00ff5d72
70,12246540.00000000000000000000,Right channel: 00000000
71,12278540.00000000000000000000,Left channel: 00ffef1a
72,12310560.00000000000000000000,Right channel: 00000000
73,12342560.00000000000000000000,Left channel: 00fee070
74,12374560.00000000000000000000,Right channel: 00000000
75,12406560.00000000000000000000,Left channel: 0001d4e8
76,12438580.00000000000000000000,Right channel: 00000000
77,12470580.00000000000000000000,Left channel: 00fd4851
78,12502580.00000000000000000000,Right channel: 00000000
79,12534580.00000000000000000000,Left channel: 000a6dcc
80,12566600.00000000000000000000,Right channel: 00000000
81,12598600.00000000000000000000,Left channel: 00f8baa8
82,12630600.00000000000000000000,Right channel: 00000000
83,12662600.00000000000000000000,Left channel: 00d5635b
84,12694600.00000000000000000000,Right channel: 00000000
85,12726620.00000000000000000000,Left channel: 00e8d749
86,12758620.00000000000000000000,Right channel: 00000000
87,12790620.00000000000000000000,Left channel: 0014882e
88,12822620.00000000000000000000,Right channel: 00000000
89,12854640.00000000000000000000,Left channel: 00218134
90,12886640.00000000000000000000,Right channel: 00000000
91,12918640.00000000000000000000,Left channel: 0008afc6
92,12950640.00000000000000000000,Right channel: 00000000
93,12982660.00000000000000000000,Left channel: 00ffc260
94,13014660.00000000000000000000,Right channel: 00000000
95,13046660.00000000000000000000,Left channel: 002572af
96,13078660.00000000000000000000,Right channel: 00000000
97,13110680.00000000000000000000,Left channel: 0039403c
98,13142680.00000000000000000000,Right channel: 00000000
99,13174680.00000000000000000000,Left channel: 00130bb2
100,13206680.00000000000000000000,Right channel: 00000000
101,13238680.00000000000000000000,Left channel: 00e47120
102,13270700.00000000000000000000,Right channel: 00000000
103,13302700.00000000000000000000,Left channel: 00db7373
104,13334700.00000000000000000000,Right channel: 00000000
105,13366700.00000000000000000000,Left channel: 00f0e715
106,13398720.00000000000000000000,Right channel: 00000000
107,13430720.00000000000000000000,Left channel: 00faeaf8
108,13462720.00000000000000000000,Right channel: 00000000
109,13494720.00000000000000000000,Left channel: 00c7a4ff
110,13526740.00000000000000000000,Right channel: 00000000
111,13558740.00000000000000000000,Left channel: 00bbc5e6
112,13590740.00000000000000000000,Right channel: 00000000
113,13622740.00000000000000000000,Left channel: 003233ab
114,13654760.00000000000000000000,Right channel: 00000000
115,13686760.00000000000000000000,Left channel: 00583758
116,13718760.00000000000000000000,Right channel: 00000000
117,13750760.00000000000000000000,Left channel: 00245e0a
118,13782760.00000000000000000000,Right channel: 00000000
119,13814780.00000000000000000000,Left channel: 00ff7deb
120,13846780.00000000000000000000,Right channel: 00000000
121,13878780.00000000000000000000,Left channel: 0012f982
122,13910780.00000000000000000000,Right channel: 00000000
123,13942800.00000000000000000000,Left channel: 001f64b1
124,13974800.00000000000000000000,Right channel: 00000000
125,14006800.00000000000000000000,Left channel: 0001b360
126,14038800.00000000000000000000,Right channel: 00000000
127,14070820.00000000000000000000,Left channel: 00e27058
128,14102820.00000000000000000000,Right channel: 00000000
129,14134820.00000000000000000000,Left channel: 00d99be3
130,14166820.00000000000000000000,Right channel: 00000000
131,14198840.00000000000000000000,Left channel: 00d062f9
132,14230840.00000000000000000000,Right channel: 00000000
133,14262840.00000000000000000000,Left channel: 00df1768
134,14294840.00000000000000000000,Right channel: 00000000
135,14326840.00000000000000000000,Left channel: 00f0a076
136,14358860.00000000000000000000,Right channel: 00000000
137,14390860.00000000000000000000,Left channel: 00f65a67
138,14422860.00000000000000000000,Right channel: 00000000
139,14454860.00000000000000000000,Left channel: 00fffe3c
140,14486880.00000000000000000000,Right channel: 00000000
141,14518880.00000000000000000000,Left channel: 0018f265
142,14550880.00000000000000000000,Right channel: 00000000
143,14582880.00000000000000000000,Left channel: 0027d07e
144,14614900.00000000000000000000,Right channel: 00000000
145,14646900.00000000000000000000,Left channel: 001cde36
146,14678900.00000000000000000000,Right channel: 00000000
147,14710900.00000000000000000000,Left channel: 00046913
148,14742920.00000000000000000000,Right channel: 00000000
149,14774920.00000000000000000000,Left channel: 00f5d63e
150,14806920.00000000000000000000,Right channel: 00000000
151,14838920.00000000000000000000,Left channel: 00e9fabd
152,14870920.00000000000000000000,Right channel: 00000000
153,14902940.00000000000000000000,Left channel: 00e0d690
154,14934940.00000000000000000000,Right channel: 00000000
155,14966940.00000000000000000000,Left channel: 00ea96a5
156,14998940.00000000000000000000,Right channel: 00000000
157,15030960.00000000000000000000,Left channel: 00eef537
158,15062960.00000000000000000000,Right channel: 00000000
159,15094960.00000000000000000000,Left channel: 00f9d953
160,15126960.00000000000000000000,Right channel: 00000000
161,15158980.00000000000000000000,Left channel: 0013f209
162,15190980.00000000000000000000,Right channel: 00000000
163,15222980.00000000000000000000,Left channel: 00244db8
164,15254980.00000000000000000000,Right channel: 00000000
165,15287000.00000000000000000000,Left channel: 001cd051
166,15319000.00000000000000000000,Right channel: 00000000
167,15351000.00000000000000000000,Left channel: 00071bad
168,15383000.00000000000000000000,Right channel: 00000000
169,15415000.00000000000000000000,Left channel: 00f7e54b
170,15447020.00000000000000000000,Right channel: 00000000
171,15479020.00000000000000000000,Left channel: 00fee00f
172,15511020.00000000000000000000,Right channel: 00000000
173,15543020.00000000000000000000,Left channel: 0005867a
174,15575040.00000000000000000000,Right channel: 00000000
175,15607040.00000000000000000000,Left channel: 00fc4652
176,15639040.00000000000000000000,Right channel: 00000000
177,15671040.00000000000000000000,Left channel: 00edfc12
178,15703060.00000000000000000000,Right channel: 00000000
179,15735060.00000000000000000000,Left channel: 00f48103
180,15767060.00000000000000000000,Right channel: 00000000
181,15799060.00000000000000000000,Left channel: 00037c3c
182,15831080.00000000000000000000,Right channel: 00000000
183,15863080.00000000000000000000,Left channel: 0010ff62
184,15895080.00000000000000000000,Right channel: 00000000
185,15927080.00000000000000000000,Left channel: 001510c3
186,15959080.00000000000000000000,Right channel: 00000000
187,15991100.00000000000000000000,Left channel: 0012928c
188,16023100.00000000000000000000,Right channel: 00000000
189,16055100.00000000000000000000,Left channel: 000c0279
190,16087100.00000000000000000000,Right channel: 00000000
191,16119120.00000000000000000000,Left channel: 00ff4ba4
192,16151120.00000000000000000000,Right channel: 00000000
193,16183120.00000000000000000000,Left channel: 00f93f7a
194,16215120.00000000000000000000,Right channel: 00000000
195,16247140.00000000000000000000,Left channel: 00fb002a
196,16279140.00000000000000000000,Right channel: 00000000
197,16311140.00000000000000000000,Left channel: 00f8d937
198,16343140.00000000000000000000,Right channel: 00000000
199,16375160.00000000000000000000,Left channel: 00f1d812
200,16407160.00000000000000000000,Right channel: 00000000
201,16439160.00000000000000000000,Left channel: 00f6334d
202,16471160.00000000000000000000,Right channel: 00000000
203,16503160.00000000000000000000,Left channel: 0004cdf1
204,16535180.00000000000000000000,Right channel: 00000000
205,16567180.00000000000000000000,Left channel: 00092d1d
206,16599180.00000000000000000000,Right channel: 00000000
207,16631180.00000000000000000000,Left channel: 00078ae6
208,16663200.00000000000000000000,Right channel: 00000000
209,16695200.00000000000000000000,Left channel: 00093309
210,16727200.00000000000000000000,Right channel: 00000000
211,16759200.00000000000000000000,Left channel: 000b552d
212,16791220.00000000000000000000,Right channel: 00000000
