Id,Time[ns],I²S
124,12553680.00000000000000000000,Left channel: 003addcc
125,12574180.00000000000000000000,Right channel: 00ffffff
126,12594660.00000000000000000000,Left channel: 0037e187
127,12615140.00000000000000000000,Right channel: 00ffffff
128,12635620.00000000000000000000,Left channel: 003ac041
129,12656100.00000000000000000000,Right channel: 00ffffff
130,12676580.00000000000000000000,Left channel: 001f3509
131,12697080.00000000000000000000,Right channel: 00ffffff
132,12717560.00000000000000000000,Left channel: 00e28cab
133,12738040.00000000000000000000,Right channel: 00ffffff
134,12758520.00000000000000000000,Left channel: 00d62005
135,12779000.00000000000000000000,Right channel: 00ffffff
136,12799480.00000000000000000000,Left channel: 00302031
137,12819960.00000000000000000000,Right channel: 00ffffff
138,12840460.00000000000000000000,Left channel: 001cbd8d
139,12860940.00000000000000000000,Right channel: 00ffffff
140,12881420.00000000000000000000,Left channel: 00f7746c
141,12901900.00000000000000000000,Right channel: 00ffffff
142,12922380.00000000000000000000,Left channel: 00fdca4b
143,12942860.00000000000000000000,Right channel: 00ffffff
144,12963360.00000000000000000000,Left channel: 00089824
145,12983840.00000000000000000000,Right channel: 00ffffff
146,13004320.00000000000000000000,Left channel: 001171f0
147,13024800.00000000000000000000,Right channel: 00ffffff
148,13045280.00000000000000000000,Left channel: 000efd5b
149,13065760.00000000000000000000,Right channel: 00ffffff
150,13086260.00000000000000000000,Left channel: 00187e89
151,13106740.00000000000000000000,Right channel: 00ffffff
152,13127220.00000000000000000000,Left channel: 00f0c08d
153,13147700.00000000000000000000,Right channel: 00ffffff
154,13168180.00000000000000000000,Left channel: 00f393ba
155,13188660.00000000000000000000,Right channel: 00ffffff
156,13209140.00000000000000000000,Left channel: 0001fa91
157,13229620.00000000000000000000,Right channel: 00ffffff
158,13250120.00000000000000000000,Left channel: 00db2545
159,13270600.00000000000000000000,Right channel: 00ffffff
160,13291080.00000000000000000000,Left channel: 00fda3c6
161,13311560.00000000000000000000,Right channel: 00ffffff
162,13332040.00000000000000000000,Left channel: 00f909d6
163,13352540.00000000000000000000,Right channel: 00ffffff
164,13373020.00000000000000000000,Left channel: 00e4a5ec
165,13393500.00000000000000000000,Right channel: 00ffffff
166,13413980.00000000000000000000,Left channel: 00fce883
167,13434460.00000000000000000000,Right channel: 00ffffff
168,13454940.00000000000000000000,Left channel: 00e9555e
169,13475420.00000000000000000000,Right channel: 00ffffff
170,13495900.00000000000000000000,Left channel: 00d0f985
171,13516400.00000000000000000000,Right channel: 00ffffff
172,13536880.00000000000000000000,Left channel: 00e3c4ef
173,13557360.00000000000000000000,Right channel: 00ffffff
174,13577840.00000000000000000000,Left channel: 00f946d4
175,13598320.00000000000000000000,Right channel: 00ffffff
176,13618800.00000000000000000000,Left channel: 00f4ad23
177,13639300.00000000000000000000,Right channel: 00ffffff
178,13659780.00000000000000000000,Left channel: 00ea4c5f
179,13680260.00000000000000000000,Right channel: 00ffffff
180,13700740.00000000000000000000,Left channel: 00ec03f7
181,13721220.00000000000000000000,Right channel: 00ffffff
182,13741700.00000000000000000000,Left channel: 00e6c746
183,13762180.00000000000000000000,Right channel: 00ffffff
184,13782680.00000000000000000000,Left channel: 00eb121e
185,13803160.00000000000000000000,Right channel: 00ffffff
186,13823640.00000000000000000000,Left channel: 00032470
187,13844120.00000000000000000000,Right channel: 00ffffff
188,13864600.00000000000000000000,Left channel: 000653e6
189,13885080.00000000000000000000,Right channel: 00ffffff
190,13905560.00000000000000000000,Left channel: 00f87134
191,13926060.00000000000000000000,Right channel: 00ffffff
192,13946540.00000000000000000000,Left channel: 00f6a0df
193,13967020.00000000000000000000,Right channel: 00ffffff
194,13987500.00000000000000000000,Left channel: 00f668bb
195,14007980.00000000000000000000,Right channel: 00ffffff
196,14028460.00000000000000000000,Left channel: 00fc5532
197,14048960.00000000000000000000,Right channel: 00ffffff
198,14069440.00000000000000000000,Left channel: 0002eb29
199,14089920.00000000000000000000,Right channel: 00ffffff
200,14110400.00000000000000000000,Left channel: 00fe36ae
201,14130880.00000000000000000000,Right channel: 00ffffff
202,14151360.00000000000000000000,Left channel: 00f7073f
203,14171840.00000000000000000000,Right channel: 00ffffff
204,14192340.00000000000000000000,Left channel: 00f476e0
205,14212820.00000000000000000000,Right channel: 00ffffff
206,14233300.00000000000000000000,Left channel: 00feafae
207,14253780.00000000000000000000,Right channel: 00ffffff
208,14274260.00000000000000000000,Left channel: 0006cce2
209,14294740.00000000000000000000,Right channel: 00ffffff
210,14315240.00000000000000000000,Left channel: 00078ec9
211,14335720.00000000000000000000,Right channel: 00ffffff
212,14356200.00000000000000000000,Left channel: 00052338
213,14376680.00000000000000000000,Right channel: 00ffffff
214,14397160.00000000000000000000,Left channel: 00ff8f54
215,14417640.00000000000000000000,Right channel: 00ffffff
216,14438120.00000000000000000000,Left channel: 00040e2a
217,14458620.00000000000000000000,Right channel: 00ffffff
218,14479100.00000000000000000000,Left channel: 0007c637
219,14499580.00000000000000000000,Right channel: 00ffffff
220,14520060.00000000000000000000,Left channel: 00083a75
221,14540540.00000000000000000000,Right channel: 00ffffff
222,14561020.00000000000000000000,Left channel: 000982b9
223,14581500.00000000000000000000,Right channel: 00ffffff
224,14602000.00000000000000000000,Left channel: 000b08a6
225,14622480.00000000000000000000,Right channel: 00ffffff
226,14642960.00000000000000000000,Left channel: 000cceda
227,14663440.00000000000000000000,Right channel: 00ffffff
228,14683920.00000000000000000000,Left channel: 0007f6ab
229,14704400.00000000000000000000,Right channel: 00ffffff
230,14724900.00000000000000000000,Left channel: 00067120
231,14745380.00000000000000000000,Right channel: 00ffffff
232,14765860.00000000000000000000,Left channel: 000a43f2
233,14786340.00000000000000000000,Right channel: 00ffffff
234,14806820.00000000000000000000,Left channel: 00052734
235,14827300.00000000000000000000,Right channel: 00ffffff
236,14847780.00000000000000000000,Left channel: 0008d607
237,14868280.00000000000000000000,Right channel: 00ffffff
238,14888760.00000000000000000000,Left channel: 000f3992
239,14909240.00000000000000000000,Right channel: 00ffffff
240,14929720.00000000000000000000,Left channel: 000e379f
241,14950200.00000000000000000000,Right channel: 00ffffff
242,14970680.00000000000000000000,Left channel: 000a1d78
243,14991180.00000000000000000000,Right channel: 00ffffff
244,15011660.00000000000000000000,Left channel: 0009fa33
245,15032140.00000000000000000000,Right channel: 00ffffff
246,15052620.00000000000000000000,Left channel: 000ccbdc
247,15073100.00000000000000000000,Right channel: 00ffffff
248,15093580.00000000000000000000,Left channel: 000ab17b
249,15114060.00000000000000000000,Right channel: 00ffffff
250,15134560.00000000000000000000,Left channel: 00095f7e
251,15155040.00000000000000000000,Right channel: 00ffffff
252,15175520.00000000000000000000,Left channel: 0008a7bc
253,15196000.00000000000000000000,Right channel: 00ffffff
254,15216480.00000000000000000000,Left channel: 0005a526
255,15236960.00000000000000000000,Right channel: 00ffffff
256,15257440.00000000000000000000,Left channel: 00054165
257,15277940.00000000000000000000,Right channel: 00ffffff
258,15298420.00000000000000000000,Left channel: 0009eceb
259,15318900.00000000000000000000,Right channel: 00ffffff
260,15339380.00000000000000000000,Left channel: 000c8b7a
261,15359860.00000000000000000000,Right channel: 00ffffff
262,15380340.00000000000000000000,Left channel: 0006f94b
263,15400840.00000000000000000000,Right channel: 00ffffff
264,15421320.00000000000000000000,Left channel: 0005b78e
265,15441800.00000000000000000000,Right channel: 00ffffff
266,15462280.00000000000000000000,Left channel: 00061c3a
267,15482760.00000000000000000000,Right channel: 00ffffff
268,15503240.00000000000000000000,Left channel: 00036553
269,15523720.00000000000000000000,Right channel: 00ffffff
270,15544220.00000000000000000000,Left channel: 0005fce5
271,15564700.00000000000000000000,Right channel: 00ffffff
272,15585180.00000000000000000000,Left channel: 00086ebf
273,15605660.00000000000000000000,Right channel: 00ffffff
274,15626140.00000000000000000000,Left channel: 000569d0
275,15646620.00000000000000000000,Right channel: 00ffffff
276,15667120.00000000000000000000,Left channel: 0004a031
277,15687600.00000000000000000000,Right channel: 00ffffff
278,15708080.00000000000000000000,Left channel: 0001e62f
279,15728560.00000000000000000000,Right channel: 00ffffff
280,15749040.00000000000000000000,Left channel: 00fcf9f7
281,15769520.00000000000000000000,Right channel: 00ffffff
282,15790000.00000000000000000000,Left channel: 00fbf5ae
283,15810500.00000000000000000000,Right channel: 00ffffff
284,15830980.00000000000000000000,Left channel: 00fd972e
285,15851460.00000000000000000000,Right channel: 00ffffff
286,15871940.00000000000000000000,Left channel: 0000a534
287,15892420.00000000000000000000,Right channel: 00ffffff
288,15912900.00000000000000000000,Left channel: 0005a5f1
289,15933400.00000000000000000000,Right channel: 00ffffff
290,15953880.00000000000000000000,Left channel: 000792a2
291,15974360.00000000000000000000,Right channel: 00ffffff
292,15994840.00000000000000000000,Left channel: 0005031c
293,16015320.00000000000000000000,Right channel: 00ffffff
294,16035800.00000000000000000000,Left channel: 00040cd9
295,16056280.00000000000000000000,Right channel: 00ffffff
296,16076780.00000000000000000000,Left channel: 00046e4c
297,16097260.00000000000000000000,Right channel: 00ffffff
298,16117740.00000000000000000000,Left channel: 000180c6
299,16138220.00000000000000000000,Right channel: 00ffffff
300,16158700.00000000000000000000,Left channel: 00ff6201
301,16179180.00000000000000000000,Right channel: 00ffffff
302,16199660.00000000000000000000,Left channel: 00ff4cb4
303,16220160.00000000000000000000,Right channel: 00ffffff
304,16240640.00000000000000000000,Left channel: 00fac38a
305,16261120.00000000000000000000,Right channel: 00ffffff
306,16281600.00000000000000000000,Left channel: 00fb6c23
307,16302080.00000000000000000000,Right channel: 00ffffff
308,16322560.00000000000000000000,Left channel: 00fe50a0
309,16343060.00000000000000000000,Right channel: 00ffffff
310,16363540.00000000000000000000,Left channel: 00fdec6f
311,16384020.00000000000000000000,Right channel: 00ffffff
312,16404500.00000000000000000000,Left channel: 00f9eb60
313,16424980.00000000000000000000,Right channel: 00ffffff
314,16445460.00000000000000000000,Left channel: 00fe5194
315,16465940.00000000000000000000,Right channel: 00ffffff
316,16486420.00000000000000000000,Left channel: 00ffaa0c
317,16506920.00000000000000000000,Right channel: 00ffffff
318,16527400.00000000000000000000,Left channel: 00fd01f5
319,16547880.00000000000000000000,Right channel: 00ffffff
320,16568360.00000000000000000000,Left channel: 00fd0173
321,16588840.00000000000000000000,Right channel: 00ffffff
322,16609340.00000000000000000000,Left channel: 00fb0849
323,16629820.00000000000000000000,Right channel: 00ffffff
324,16650300.00000000000000000000,Left channel: 00fbb100
325,16670780.00000000000000000000,Right channel: 00ffffff
326,16691260.00000000000000000000,Left channel: 00f8f78e
327,16711740.00000000000000000000,Right channel: 00ffffff
328,16732220.00000000000000000000,Left channel: 00f79fab
329,16752720.00000000000000000000,Right channel: 00ffffff
330,16773200.00000000000000000000,Left channel: 00fa2f77
331,16793680.00000000000000000000,Right channel: 00ffffff
332,16814160.00000000000000000000,Left channel: 00fc451f
333,16834640.00000000000000000000,Right channel: 00ffffff
334,16855120.00000000000000000000,Left channel: 000007b9
335,16875600.00000000000000000000,Right channel: 00ffffff
336,16896100.00000000000000000000,Left channel: 00018dc7
337,16916580.00000000000000000000,Right channel: 00ffffff
338,16937060.00000000000000000000,Left channel: 00fe9b54
339,16957540.00000000000000000000,Right channel: 00ffffff
340,16978020.00000000000000000000,Left channel: 00fc3e51
341,16998500.00000000000000000000,Right channel: 00ffffff
342,17019000.00000000000000000000,Left channel: 00f92607
343,17039480.00000000000000000000,Right channel: 00ffffff
344,17059960.00000000000000000000,Left channel: 00fb1104
345,17080440.00000000000000000000,Right channel: 00ffffff
346,17100920.00000000000000000000,Left channel: 00fd68b3
347,17121400.00000000000000000000,Right channel: 00ffffff
348,17141880.00000000000000000000,Left channel: 00fb725b
349,17162360.00000000000000000000,Right channel: 00ffffff
350,17182860.00000000000000000000,Left channel: 00fc84f4
351,17203340.00000000000000000000,Right channel: 00ffffff
352,17223820.00000000000000000000,Left channel: 00ff2b05
353,17244300.00000000000000000000,Right channel: 00ffffff
354,17264780.00000000000000000000,Left channel: 00fc734b
355,17285260.00000000000000000000,Right channel: 00ffffff
356,17305760.00000000000000000000,Left channel: 00fa492c
357,17326240.00000000000000000000,Right channel: 00ffffff
