Id,Time[ns],I²S
128,12635620.00000000000000000000,Left channel: 00000f6d
129,12656100.00000000000000000000,Right channel: 00000000
130,12676580.00000000000000000000,Left channel: 0000f6d9
131,12697080.00000000000000000000,Right channel: 00000000
132,12717560.00000000000000000000,Left channel: 000035c1
133,12738040.00000000000000000000,Right channel: 00000000
134,12758520.00000000000000000000,Left channel: 00004762
135,12779000.00000000000000000000,Right channel: 00000000
136,12799480.00000000000000000000,Left channel: 0000b1a5
137,12819960.00000000000000000000,Right channel: 00000000
138,12840460.00000000000000000000,Left channel: 0000e6d2
139,12860940.00000000000000000000,Right channel: 00000000
140,12881420.00000000000000000000,Left channel: 0000e5eb
141,12901900.00000000000000000000,Right channel: 00000000
142,12922380.00000000000000000000,Left channel: 0000d421
143,12942860.00000000000000000000,Right channel: 00000000
144,12963360.00000000000000000000,Left channel: 0000e616
145,12983840.00000000000000000000,Right channel: 00000000
146,13004320.00000000000000000000,Left channel: 0000c07e
147,13024800.00000000000000000000,Right channel: 00000000
148,13045280.00000000000000000000,Left channel: 0000b741
149,13065760.00000000000000000000,Right channel: 00000000
150,13086260.00000000000000000000,Left channel: 00001f5e
151,13106740.00000000000000000000,Right channel: 00000000
152,13127220.00000000000000000000,Left channel: 00008a21
153,13147700.00000000000000000000,Right channel: 00000000
154,13168180.00000000000000000000,Left channel: 00007ca3
155,13188660.00000000000000000000,Right channel: 00000000
156,13209140.00000000000000000000,Left channel: 0000c073
157,13229620.00000000000000000000,Right channel: 00000000
158,13250120.00000000000000000000,Left channel: 0000d88c
159,13270600.00000000000000000000,Right channel: 00000000
160,13291080.00000000000000000000,Left channel: 0000f3da
161,13311560.00000000000000000000,Right channel: 00000000
162,13332040.00000000000000000000,Left channel: 00008e84
163,13352540.00000000000000000000,Right channel: 00000000
164,13373020.00000000000000000000,Left channel: 000090f1
165,13393500.00000000000000000000,Right channel: 00000000
166,13413980.00000000000000000000,Left channel: 0000f0b5
167,13434460.00000000000000000000,Right channel: 00000000
168,13454940.00000000000000000000,Left channel: 00001308
169,13475420.00000000000000000000,Right channel: 00000000
170,13495900.00000000000000000000,Left channel: 00009902
171,13516400.00000000000000000000,Right channel: 00000000
172,13536880.00000000000000000000,Left channel: 000081de
173,13557360.00000000000000000000,Right channel: 00000000
174,13577840.00000000000000000000,Left channel: 0000372f
175,13598320.00000000000000000000,Right channel: 00000000
176,13618800.00000000000000000000,Left channel: 00002f99
177,13639300.00000000000000000000,Right channel: 00000000
178,13659780.00000000000000000000,Left channel: 00001874
179,13680260.00000000000000000000,Right channel: 00000000
180,13700740.00000000000000000000,Left channel: 00009342
181,13721220.00000000000000000000,Right channel: 00000000
182,13741700.00000000000000000000,Left channel: 0000da5b
183,13762180.00000000000000000000,Right channel: 00000000
184,13782680.00000000000000000000,Left channel: 00008db2
185,13803160.00000000000000000000,Right channel: 00000000
186,13823640.00000000000000000000,Left channel: 0000b28b
187,13844120.00000000000000000000,Right channel: 00000000
188,13864600.00000000000000000000,Left channel: 0000f9a8
189,13885080.00000000000000000000,Right channel: 00000000
190,13905560.00000000000000000000,Left channel: 0000c0f8
191,13926060.00000000000000000000,Right channel: 00000000
192,13946540.00000000000000000000,Left channel: 0000e9a4
193,13967020.00000000000000000000,Right channel: 00000000
194,13987500.00000000000000000000,Left channel: 0000447d
195,14007980.00000000000000000000,Right channel: 00000000
196,14028460.00000000000000000000,Left channel: 000083e8
197,14048960.00000000000000000000,Right channel: 00000000
198,14069440.00000000000000000000,Left channel: 0000088e
199,14089920.00000000000000000000,Right channel: 00000000
200,14110400.00000000000000000000,Left channel: 0000d39d
201,14130880.00000000000000000000,Right channel: 00000000
202,14151360.00000000000000000000,Left channel: 0000fff1
203,14171840.00000000000000000000,Right channel: 00000000
204,14192340.00000000000000000000,Left channel: 00005813
205,14212820.00000000000000000000,Right channel: 00000000
206,14233300.00000000000000000000,Left channel: 00006c97
207,14253780.00000000000000000000,Right channel: 00000000
208,14274260.00000000000000000000,Left channel: 00003263
209,14294740.00000000000000000000,Right channel: 00000000
210,14315240.00000000000000000000,Left channel: 00001e04
211,14335720.00000000000000000000,Right channel: 00000000
212,14356200.00000000000000000000,Left channel: 00009bc4
213,14376680.00000000000000000000,Right channel: 00000000
214,14397160.00000000000000000000,Left channel: 00008c42
215,14417640.00000000000000000000,Right channel: 00000000
216,14438120.00000000000000000000,Left channel: 00006e49
217,14458620.00000000000000000000,Right channel: 00000000
218,14479100.00000000000000000000,Left channel: 0000ba47
219,14499580.00000000000000000000,Right channel: 00000000
220,14520060.00000000000000000000,Left channel: 0000925a
221,14540540.00000000000000000000,Right channel: 00000000
222,14561020.00000000000000000000,Left channel: 0000921f
223,14581500.00000000000000000000,Right channel: 00000000
224,14602000.00000000000000000000,Left channel: 0000373d
225,14622480.00000000000000000000,Right channel: 00000000
226,14642960.00000000000000000000,Left channel: 0000bb48
227,14663440.00000000000000000000,Right channel: 00000000
228,14683920.00000000000000000000,Left channel: 00009498
229,14704400.00000000000000000000,Right channel: 00000000
230,14724900.00000000000000000000,Left channel: 0000be5b
231,14745380.00000000000000000000,Right channel: 00000000
232,14765860.00000000000000000000,Left channel: 00005530
233,14786340.00000000000000000000,Right channel: 00000000
234,14806820.00000000000000000000,Left channel: 0000d30e
235,14827300.00000000000000000000,Right channel: 00000000
236,14847780.00000000000000000000,Left channel: 00004f72
237,14868280.00000000000000000000,Right channel: 00000000
238,14888760.00000000000000000000,Left channel: 0000ed51
239,14909240.00000000000000000000,Right channel: 00000000
240,14929720.00000000000000000000,Left channel: 000096a9
241,14950200.00000000000000000000,Right channel: 00000000
242,14970680.00000000000000000000,Left channel: 00005188
243,14991180.00000000000000000000,Right channel: 00000000
244,15011660.00000000000000000000,Left channel: 0000bba8
245,15032140.00000000000000000000,Right channel: 00000000
246,15052620.00000000000000000000,Left channel: 0000255c
247,15073100.00000000000000000000,Right channel: 00000000
248,15093580.00000000000000000000,Left channel: 0000de4e
249,15114060.00000000000000000000,Right channel: 00000000
250,15134560.00000000000000000000,Left channel: 0000dfc6
251,15155040.00000000000000000000,Right channel: 00000000
252,15175520.00000000000000000000,Left channel: 000071ec
253,15196000.00000000000000000000,Right channel: 00000000
254,15216480.00000000000000000000,Left channel: 0000715b
255,15236960.00000000000000000000,Right channel: 00000000
256,15257440.00000000000000000000,Left channel: 000035ee
257,15277940.00000000000000000000,Right channel: 00000000
258,15298420.00000000000000000000,Left channel: 0000b349
259,15318900.00000000000000000000,Right channel: 00000000
260,15339380.00000000000000000000,Left channel: 0000ae31
261,15359860.00000000000000000000,Right channel: 00000000
262,15380340.00000000000000000000,Left channel: 000015ab
263,15400840.00000000000000000000,Right channel: 00000000
264,15421320.00000000000000000000,Left channel: 00008dfd
265,15441800.00000000000000000000,Right channel: 00000000
266,15462280.00000000000000000000,Left channel: 00000633
267,15482760.00000000000000000000,Right channel: 00000000
268,15503240.00000000000000000000,Left channel: 00002d4b
269,15523720.00000000000000000000,Right channel: 00000000
270,15544220.00000000000000000000,Left channel: 0000c875
271,15564700.00000000000000000000,Right channel: 00000000
272,15585180.00000000000000000000,Left channel: 0000baa2
273,15605660.00000000000000000000,Right channel: 00000000
274,15626140.00000000000000000000,Left channel: 00002017
275,15646620.00000000000000000000,Right channel: 00000000
276,15667120.00000000000000000000,Left channel: 0000f6d4
277,15687600.00000000000000000000,Right channel: 00000000
278,15708080.00000000000000000000,Left channel: 00001423
279,15728560.00000000000000000000,Right channel: 00000000
280,15749040.00000000000000000000,Left channel: 00003a7f
281,15769520.00000000000000000000,Right channel: 00000000
282,15790000.00000000000000000000,Left channel: 00006ef3
283,15810500.00000000000000000000,Right channel: 00000000
284,15830980.00000000000000000000,Left channel: 00001b96
285,15851460.00000000000000000000,Right channel: 00000000
286,15871940.00000000000000000000,Left channel: 00005413
287,15892420.00000000000000000000,Right channel: 00000000
288,15912900.00000000000000000000,Left channel: 0000d720
289,15933400.00000000000000000000,Right channel: 00000000
290,15953880.00000000000000000000,Left channel: 00008162
291,15974360.00000000000000000000,Right channel: 00000000
292,15994840.00000000000000000000,Left channel: 00007fd7
293,16015320.00000000000000000000,Right channel: 00000000
294,16035800.00000000000000000000,Left channel: 00000fd1
295,16056280.00000000000000000000,Right channel: 00000000
296,16076780.00000000000000000000,Left channel: 00006521
297,16097260.00000000000000000000,Right channel: 00000000
298,16117740.00000000000000000000,Left channel: 00008c19
299,16138220.00000000000000000000,Right channel: 00000000
300,16158700.00000000000000000000,Left channel: 0000cfbb
301,16179180.00000000000000000000,Right channel: 00000000
302,16199660.00000000000000000000,Left channel: 00000c8e
303,16220160.00000000000000000000,Right channel: 00000000
304,16240640.00000000000000000000,Left channel: 000060cf
305,16261120.00000000000000000000,Right channel: 00000000
306,16281600.00000000000000000000,Left channel: 0000f75e
307,16302080.00000000000000000000,Right channel: 00000000
308,16322560.00000000000000000000,Left channel: 00005598
309,16343060.00000000000000000000,Right channel: 00000000
310,16363540.00000000000000000000,Left channel: 00009496
311,16384020.00000000000000000000,Right channel: 00000000
312,16404500.00000000000000000000,Left channel: 000026ed
313,16424980.00000000000000000000,Right channel: 00000000
314,16445460.00000000000000000000,Left channel: 00009340
315,16465940.00000000000000000000,Right channel: 00000000
316,16486420.00000000000000000000,Left channel: 00006b28
317,16506920.00000000000000000000,Right channel: 00000000
318,16527400.00000000000000000000,Left channel: 00001320
319,16547880.00000000000000000000,Right channel: 00000000
320,16568360.00000000000000000000,Left channel: 0000d8b1
321,16588840.00000000000000000000,Right channel: 00000000
322,16609340.00000000000000000000,Left channel: 00006f2b
323,16629820.00000000000000000000,Right channel: 00000000
324,16650300.00000000000000000000,Left channel: 0000a3ac
325,16670780.00000000000000000000,Right channel: 00000000
326,16691260.00000000000000000000,Left channel: 00007578
327,16711740.00000000000000000000,Right channel: 00000000
328,16732220.00000000000000000000,Left channel: 00003e8a
329,16752720.00000000000000000000,Right channel: 00000000
330,16773200.00000000000000000000,Left channel: 0000d838
331,16793680.00000000000000000000,Right channel: 00000000
332,16814160.00000000000000000000,Left channel: 00006752
333,16834640.00000000000000000000,Right channel: 00000000
334,16855120.00000000000000000000,Left channel: 00006faa
335,16875600.00000000000000000000,Right channel: 00000000
336,16896100.00000000000000000000,Left channel: 00004040
337,16916580.00000000000000000000,Right channel: 00000000
338,16937060.00000000000000000000,Left channel: 0000374a
339,16957540.00000000000000000000,Right channel: 00000000
340,16978020.00000000000000000000,Left channel: 00000439
341,16998500.00000000000000000000,Right channel: 00000000
342,17019000.00000000000000000000,Left channel: 000068fd
343,17039480.00000000000000000000,Right channel: 00000000
344,17059960.00000000000000000000,Left channel: 0000f16b
345,17080440.00000000000000000000,Right channel: 00000000
346,17100920.00000000000000000000,Left channel: 0000b7d1
347,17121400.00000000000000000000,Right channel: 00000000
348,17141880.00000000000000000000,Left channel: 000015ff
349,17162360.00000000000000000000,Right channel: 00000000
350,17182860.00000000000000000000,Left channel: 00002c7d
351,17203340.00000000000000000000,Right channel: 00000000
352,17223820.00000000000000000000,Left channel: 0000c68e
353,17244300.00000000000000000000,Right channel: 00000000
354,17264780.00000000000000000000,Left channel: 0000c2bb
355,17285260.00000000000000000000,Right channel: 00000000
356,17305760.00000000000000000000,Left channel: 0000ae85
357,17326240.00000000000000000000,Right channel: 00000000
358,17346720.00000000000000000000,Left channel: 0000a4ba
359,17367200.00000000000000000000,Right channel: 00000000
360,17387680.00000000000000000000,Left channel: 0000f05d
361,17408160.00000000000000000000,Right channel: 00000000
362,17428640.00000000000000000000,Left channel: 00006cb0
363,17449140.00000000000000000000,Right channel: 00000000
364,17469620.00000000000000000000,Left channel: 0000a28e
365,17490100.00000000000000000000,Right channel: 00000000
366,17510580.00000000000000000000,Left channel: 00004239
367,17531060.00000000000000000000,Right channel: 00000000
368,17551540.00000000000000000000,Left channel: 0000ae58
369,17572040.00000000000000000000,Right channel: 00000000
370,17592520.00000000000000000000,Left channel: 0000276d
371,17613000.00000000000000000000,Right channel: 00000000
372,17633480.00000000000000000000,Left channel: 00008bf6
373,17653960.00000000000000000000,Right channel: 00000000
374,17674440.00000000000000000000,Left channel: 0000cf31
375,17694940.00000000000000000000,Right channel: 00000000
376,17715420.00000000000000000000,Left channel: 00009a21
377,17735900.00000000000000000000,Right channel: 00000000
378,17756380.00000000000000000000,Left channel: 0000fac9
379,17776860.00000000000000000000,Right channel: 00000000
380,17797340.00000000000000000000,Left channel: 0000be0a
381,17817820.00000000000000000000,Right channel: 00000000
382,17838300.00000000000000000000,Left channel: 00008a58
383,17858800.00000000000000000000,Right channel: 00000000
384,17879280.00000000000000000000,Left channel: 000097ec
385,17899760.00000000000000000000,Right channel: 00000000
386,17920240.00000000000000000000,Left channel: 00001e03
387,17940720.00000000000000000000,Right channel: 00000000
388,17961200.00000000000000000000,Left channel: 00005ea1
