Id,Time[ns],I²S
0,10005200.00000000000000000000,Right channel: 00000000
1,10038220.00000000000000000000,Left channel: 00000924
2,10070220.00000000000000000000,Right channel: 00000000
3,10102220.00000000000000000000,Left channel: 00000ab2
4,10134220.00000000000000000000,Right channel: 00000000
5,10166240.00000000000000000000,Left channel: 00000c5c
6,10198240.00000000000000000000,Right channel: 00000000
7,10230240.00000000000000000000,Left channel: 00000e2b
8,10262240.00000000000000000000,Right channel: 00000000
9,10294260.00000000000000000000,Left channel: 0000088f
10,10326260.00000000000000000000,Right channel: 00000000
11,10358260.00000000000000000000,Left channel: 000005d8
12,10390260.00000000000000000000,Right channel: 00000000
13,10422260.00000000000000000000,Left channel: 000003ed
14,10454280.00000000000000000000,Right channel: 00000000
15,10486280.00000000000000000000,Left channel: 000002d3
16,10518280.00000000000000000000,Right channel: 00000000
17,10550280.00000000000000000000,Left channel: 00000135
18,10582300.00000000000000000000,Right channel: 00000000
19,10614300.00000000000000000000,Left channel: 0000036c
20,10646300.00000000000000000000,Right channel: 00000000
21,10678300.00000000000000000000,Left channel: 00000891
22,10710320.00000000000000000000,Right channel: 00000000
23,10742320.00000000000000000000,Left channel: 000009db
24,10774320.00000000000000000000,Right channel: 00000000
25,10806320.00000000000000000000,Left channel: 00000c24
26,10838340.00000000000000000000,Right channel: 00000000
27,10870340.00000000000000000000,Left channel: 00000bd9
28,10902340.00000000000000000000,Right channel: 00000000
29,10934340.00000000000000000000,Left channel: 00000b86
30,10966340.00000000000000000000,Right channel: 00000000
31,10998360.00000000000000000000,Left channel: 000007be
32,11030360.00000000000000000000,Right channel: 00000000
33,11062360.00000000000000000000,Left channel: 00000815
34,11094360.00000000000000000000,Right channel: 00000000
35,11126380.00000000000000000000,Left channel: 00000882
36,11158380.00000000000000000000,Right channel: 00000000
37,11190380.00000000000000000000,Left channel: 000008b7
38,11222380.00000000000000000000,Right channel: 00000000
39,11254400.00000000000000000000,Left channel: 000006b8
40,11286400.00000000000000000000,Right channel: 00000000
41,11318400.00000000000000000000,Left channel: 00000426
42,11350400.00000000000000000000,Right channel: 00000000
43,11382420.00000000000000000000,Left channel: 00fffe67
44,11414420.00000000000000000000,Right channel: 00000000
45,11446420.00000000000000000000,Left channel: 00fffbd3
46,11478420.00000000000000000000,Right channel: 00000000
47,11510420.00000000000000000000,Left channel: 00fffb33
48,11542440.00000000000000000000,Right channel: 00000000
49,11574440.00000000000000000000,Left channel: 00fff744
50,11606440.00000000000000000000,Right channel: 00000000
51,11638440.00000000000000000000,Left channel: 00000289
52,11670460.00000000000000000000,Right channel: 00000000
53,11702460.00000000000000000000,Left channel: 00001323
54,11734460.00000000000000000000,Right channel: 00000000
55,11766460.00000000000000000000,Left channel: 00fffdb4
56,11798480.00000000000000000000,Right channel: 00000000
