Id,Time[ns],I²S
0,10005460.00000000000000000000,Right channel: 00000000
1,10038460.00000000000000000000,Left channel: 00fffbf5
2,10070460.00000000000000000000,Right channel: 00000000
3,10102480.00000000000000000000,Left channel: 00fffe92
4,10134480.00000000000000000000,Right channel: 00000000
5,10166480.00000000000000000000,Left channel: 00fffca2
6,10198480.00000000000000000000,Right channel: 00000000
7,10230500.00000000000000000000,Left channel: 00fffbef
8,10262500.00000000000000000000,Right channel: 00000000
9,10294500.00000000000000000000,Left channel: 00fffc88
10,10326500.00000000000000000000,Right channel: 00000000
11,10358500.00000000000000000000,Left channel: 00fffc59
12,10390520.00000000000000000000,Right channel: 00000000
13,10422520.00000000000000000000,Left channel: 00fffccf
14,10454520.00000000000000000000,Right channel: 00000000
15,10486520.00000000000000000000,Left channel: 00fffdf6
16,10518540.00000000000000000000,Right channel: 00000000
17,10550540.00000000000000000000,Left channel: 00fffdd4
18,10582540.00000000000000000000,Right channel: 00000000
19,10614540.00000000000000000000,Left channel: 00fffc68
20,10646560.00000000000000000000,Right channel: 00000000
21,10678560.00000000000000000000,Left channel: 00fffc8d
22,10710560.00000000000000000000,Right channel: 00000000
23,10742560.00000000000000000000,Left channel: 00fffd1d
24,10774560.00000000000000000000,Right channel: 00000000
25,10806580.00000000000000000000,Left channel: 00fff740
26,10838580.00000000000000000000,Right channel: 00000000
27,10870580.00000000000000000000,Left channel: 00fff2a1
28,10902580.00000000000000000000,Right channel: 00000000
29,10934600.00000000000000000000,Left channel: 00fff3e2
30,10966600.00000000000000000000,Right channel: 00000000
31,10998600.00000000000000000000,Left channel: 00fff225
32,11030600.00000000000000000000,Right channel: 00000000
33,11062620.00000000000000000000,Left channel: 00fff02c
34,11094620.00000000000000000000,Right channel: 00000000
35,11126620.00000000000000000000,Left channel: 00fff66f
36,11158620.00000000000000000000,Right channel: 00000000
37,11190640.00000000000000000000,Left channel: 00fff9f0
38,11222640.00000000000000000000,Right channel: 00000000
39,11254640.00000000000000000000,Left channel: 00fffa4f
40,11286640.00000000000000000000,Right channel: 00000000
41,11318640.00000000000000000000,Left channel: 00fffc59
42,11350660.00000000000000000000,Right channel: 00000000
43,11382660.00000000000000000000,Left channel: 00fffca9
44,11414660.00000000000000000000,Right channel: 00000000
45,11446660.00000000000000000000,Left channel: 00fffeca
46,11478680.00000000000000000000,Right channel: 00000000
47,11510680.00000000000000000000,Left channel: 000001e1
48,11542680.00000000000000000000,Right channel: 00000000
49,11574680.00000000000000000000,Left channel: 0000049a
50,11606700.00000000000000000000,Right channel: 00000000
51,11638700.00000000000000000000,Left channel: 000012b9
52,11670700.00000000000000000000,Right channel: 00000000
53,11702700.00000000000000000000,Left channel: 000024c8
54,11734720.00000000000000000000,Right channel: 00000000
55,11766720.00000000000000000000,Left channel: 00000fec
56,11798720.00000000000000000000,Right channel: 00000000
57,11830720.00000000000000000000,Left channel: 0000107f
58,11862720.00000000000000000000,Right channel: 00000000
59,11894740.00000000000000000000,Left channel: 000001ac
60,11926740.00000000000000000000,Right channel: 00000000
61,11958740.00000000000000000000,Left channel: 00ffccd1
62,11990740.00000000000000000000,Right channel: 00000000
63,12022760.00000000000000000000,Left channel: 000021c7
64,12054760.00000000000000000000,Right channel: 00000000
65,12086760.00000000000000000000,Left channel: 0000d585
66,12118760.00000000000000000000,Right channel: 00000000
67,12150780.00000000000000000000,Left channel: 00012519
68,12182780.00000000000000000000,Right channel: 00000000
69,12214780.00000000000000000000,Left channel: 00ff7474
70,12246780.00000000000000000000,Right channel: 00000000
71,12278800.00000000000000000000,Left channel: 0000024e
72,12310800.00000000000000000000,Right channel: 00000000
73,12342800.00000000000000000000,Left channel: 00fee396
74,12374800.00000000000000000000,Right channel: 00000000
75,12406800.00000000000000000000,Left channel: 0001e08f
76,12438820.00000000000000000000,Right channel: 00000000
77,12470820.00000000000000000000,Left channel: 00fd3914
78,12502820.00000000000000000000,Right channel: 00000000
79,12534820.00000000000000000000,Left channel: 000a713e
80,12566840.00000000000000000000,Right channel: 00000000
81,12598840.00000000000000000000,Left channel: 00f8a784
82,12630840.00000000000000000000,Right channel: 00000000
83,12662840.00000000000000000000,Left channel: 00d7144a
84,12694860.00000000000000000000,Right channel: 00000000
85,12726860.00000000000000000000,Left channel: 00e7e22a
86,12758860.00000000000000000000,Right channel: 00000000
87,12790860.00000000000000000000,Left channel: 00139ff6
88,12822880.00000000000000000000,Right channel: 00000000
89,12854880.00000000000000000000,Left channel: 00207c7e
90,12886880.00000000000000000000,Right channel: 00000000
91,12918880.00000000000000000000,Left channel: 00095e0c
92,12950880.00000000000000000000,Right channel: 00000000
93,12982900.00000000000000000000,Left channel: 0001059f
94,13014900.00000000000000000000,Right channel: 00000000
95,13046900.00000000000000000000,Left channel: 0025ee44
96,13078900.00000000000000000000,Right channel: 00000000
97,13110920.00000000000000000000,Left channel: 0037dec0
98,13142920.00000000000000000000,Right channel: 00000000
99,13174920.00000000000000000000,Left channel: 0012bce4
100,13206920.00000000000000000000,Right channel: 00000000
101,13238940.00000000000000000000,Left channel: 00e625e1
102,13270940.00000000000000000000,Right channel: 00000000
103,13302940.00000000000000000000,Left channel: 00dd504d
104,13334940.00000000000000000000,Right channel: 00000000
105,13366960.00000000000000000000,Left channel: 00ef2f00
106,13398960.00000000000000000000,Right channel: 00000000
107,13430960.00000000000000000000,Left channel: 00f8a1cb
108,13462960.00000000000000000000,Right channel: 00000000
109,13494960.00000000000000000000,Left channel: 00c7ee65
110,13526980.00000000000000000000,Right channel: 00000000
111,13558980.00000000000000000000,Left channel: 00bc1bf8
112,13590980.00000000000000000000,Right channel: 00000000
113,13622980.00000000000000000000,Left channel: 00312534
114,13655000.00000000000000000000,Right channel: 00000000
115,13687000.00000000000000000000,Left channel: 00576017
116,13719000.00000000000000000000,Right channel: 00000000
117,13751000.00000000000000000000,Left channel: 0024101c
118,13783020.00000000000000000000,Right channel: 00000000
119,13815020.00000000000000000000,Left channel: 00010fbc
120,13847020.00000000000000000000,Right channel: 00000000
121,13879020.00000000000000000000,Left channel: 00182f5c
122,13911020.00000000000000000000,Right channel: 00000000
123,13943040.00000000000000000000,Left channel: 00219b19
124,13975040.00000000000000000000,Right channel: 00000000
125,14007040.00000000000000000000,Left channel: 00ff91b1
126,14039040.00000000000000000000,Right channel: 00000000
127,14071060.00000000000000000000,Left channel: 00e34360
128,14103060.00000000000000000000,Right channel: 00000000
129,14135060.00000000000000000000,Left channel: 00df3b8a
130,14167060.00000000000000000000,Right channel: 00000000
131,14199080.00000000000000000000,Left channel: 00d29d3d
132,14231080.00000000000000000000,Right channel: 00000000
133,14263080.00000000000000000000,Left channel: 00dc855c
134,14295080.00000000000000000000,Right channel: 00000000
135,14327100.00000000000000000000,Left channel: 00eccc4e
136,14359100.00000000000000000000,Right channel: 00000000
137,14391100.00000000000000000000,Left channel: 00f39eca
138,14423100.00000000000000000000,Right channel: 00000000
139,14455100.00000000000000000000,Left channel: 00fd3205
140,14487120.00000000000000000000,Right channel: 00000000
141,14519120.00000000000000000000,Left channel: 00175697
142,14551120.00000000000000000000,Right channel: 00000000
143,14583120.00000000000000000000,Left channel: 00251bc0
144,14615140.00000000000000000000,Right channel: 00000000
145,14647140.00000000000000000000,Left channel: 001d247a
146,14679140.00000000000000000000,Right channel: 00000000
147,14711140.00000000000000000000,Left channel: 00098cbf
148,14743160.00000000000000000000,Right channel: 00000000
149,14775160.00000000000000000000,Left channel: 00ff52a2
150,14807160.00000000000000000000,Right channel: 00000000
151,14839160.00000000000000000000,Left channel: 00ecc5de
152,14871180.00000000000000000000,Right channel: 00000000
153,14903180.00000000000000000000,Left channel: 00def83f
154,14935180.00000000000000000000,Right channel: 00000000
155,14967180.00000000000000000000,Left channel: 00eae99b
156,14999180.00000000000000000000,Right channel: 00000000
157,15031200.00000000000000000000,Left channel: 00f0b954
158,15063200.00000000000000000000,Right channel: 00000000
159,15095200.00000000000000000000,Left channel: 00f77902
160,15127200.00000000000000000000,Right channel: 00000000
161,15159220.00000000000000000000,Left channel: 000cff0c
162,15191220.00000000000000000000,Right channel: 00000000
163,15223220.00000000000000000000,Left channel: 001dffbb
164,15255220.00000000000000000000,Right channel: 00000000
165,15287240.00000000000000000000,Left channel: 001b7df4
166,15319240.00000000000000000000,Right channel: 00000000
167,15351240.00000000000000000000,Left channel: 00074b45
168,15383240.00000000000000000000,Right channel: 00000000
169,15415260.00000000000000000000,Left channel: 00f96f32
170,15447260.00000000000000000000,Right channel: 00000000
171,15479260.00000000000000000000,Left channel: 00018d90
172,15511260.00000000000000000000,Right channel: 00000000
173,15543260.00000000000000000000,Left channel: 0008efaf
174,15575280.00000000000000000000,Right channel: 00000000
175,15607280.00000000000000000000,Left channel: 00015ef8
176,15639280.00000000000000000000,Right channel: 00000000
177,15671280.00000000000000000000,Left channel: 00f16d1a
178,15703300.00000000000000000000,Right channel: 00000000
179,15735300.00000000000000000000,Left channel: 00f3972d
180,15767300.00000000000000000000,Right channel: 00000000
181,15799300.00000000000000000000,Left channel: 0000b145
182,15831320.00000000000000000000,Right channel: 00000000
183,15863320.00000000000000000000,Left channel: 000ec9d0
184,15895320.00000000000000000000,Right channel: 00000000
185,15927320.00000000000000000000,Left channel: 00113003
186,15959340.00000000000000000000,Right channel: 00000000
187,15991340.00000000000000000000,Left channel: 0010eaf1
188,16023340.00000000000000000000,Right channel: 00000000
189,16055340.00000000000000000000,Left channel: 000b1e86
190,16087340.00000000000000000000,Right channel: 00000000
191,16119360.00000000000000000000,Left channel: 00fce65a
192,16151360.00000000000000000000,Right channel: 00000000
193,16183360.00000000000000000000,Left channel: 00fa9fc3
194,16215360.00000000000000000000,Right channel: 00000000
195,16247380.00000000000000000000,Left channel: 0000de2a
196,16279380.00000000000000000000,Right channel: 00000000
197,16311380.00000000000000000000,Left channel: 000010b2
198,16343380.00000000000000000000,Right channel: 00000000
199,16375400.00000000000000000000,Left channel: 00f4b3b0
200,16407400.00000000000000000000,Right channel: 00000000
201,16439400.00000000000000000000,Left channel: 00f55fca
202,16471400.00000000000000000000,Right channel: 00000000
203,16503420.00000000000000000000,Left channel: 00062b1a
204,16535420.00000000000000000000,Right channel: 00000000
205,16567420.00000000000000000000,Left channel: 00082599
206,16599420.00000000000000000000,Right channel: 00000000
207,16631420.00000000000000000000,Left channel: 0001e911
208,16663440.00000000000000000000,Right channel: 00000000
209,16695440.00000000000000000000,Left channel: 0005400b
210,16727440.00000000000000000000,Right channel: 00000000
211,16759440.00000000000000000000,Left channel: 000a2063
