Id,Time[ns],I²S
0,15960.00000000000000000000,Left channel: 000017e7
1,37080.00000000000000000000,Right channel: 00ffffff
2,57560.00000000000000000000,Left channel: 00001b87
3,78060.00000000000000000000,Right channel: 00ffffff
4,98540.00000000000000000000,Left channel: 00001677
5,119020.00000000000000000000,Right channel: 00ffffff
6,139500.00000000000000000000,Left channel: 000013d2
7,159980.00000000000000000000,Right channel: 00ffffff
8,180460.00000000000000000000,Left channel: 000016d8
9,200940.00000000000000000000,Right channel: 00ffffff
10,221440.00000000000000000000,Left channel: 000013ec
11,241920.00000000000000000000,Right channel: 00ffffff
12,262400.00000000000000000000,Left channel: 000013c8
13,282880.00000000000000000000,Right channel: 00ffffff
14,303360.00000000000000000000,Left channel: 00001292
15,323840.00000000000000000000,Right channel: 00ffffff
16,344340.00000000000000000000,Left channel: 000013ec
17,364820.00000000000000000000,Right channel: 00ffffff
18,385300.00000000000000000000,Left channel: 0000108c
19,405780.00000000000000000000,Right channel: 00ffffff
20,426260.00000000000000000000,Left channel: 00000aa9
21,446740.00000000000000000000,Right channel: 00ffffff
22,467220.00000000000000000000,Left channel: 00000ba3
23,487720.00000000000000000000,Right channel: 00ffffff
24,508200.00000000000000000000,Left channel: 000009b0
25,528680.00000000000000000000,Right channel: 00ffffff
26,549160.00000000000000000000,Left channel: 00000d42
27,569640.00000000000000000000,Right channel: 00ffffff
28,590120.00000000000000000000,Left channel: 00000951
29,610600.00000000000000000000,Right channel: 00ffffff
30,631100.00000000000000000000,Left channel: 00000a6e
31,651580.00000000000000000000,Right channel: 00ffffff
32,672060.00000000000000000000,Left channel: 0000107c
33,692540.00000000000000000000,Right channel: 00ffffff
34,713020.00000000000000000000,Left channel: 000008a7
35,733500.00000000000000000000,Right channel: 00ffffff
36,754000.00000000000000000000,Left channel: 00001104
37,774480.00000000000000000000,Right channel: 00ffffff
38,794960.00000000000000000000,Left channel: 000011a4
39,815440.00000000000000000000,Right channel: 00ffffff
40,835920.00000000000000000000,Left channel: 00000e4a
41,856400.00000000000000000000,Right channel: 00ffffff
42,876880.00000000000000000000,Left channel: 00000d01
43,897380.00000000000000000000,Right channel: 00ffffff
44,917860.00000000000000000000,Left channel: 00000d72
45,938340.00000000000000000000,Right channel: 00ffffff
46,958820.00000000000000000000,Left channel: 00000ea5
47,979300.00000000000000000000,Right channel: 00ffffff
48,999780.00000000000000000000,Left channel: 00000986
49,1020280.00000000000000000000,Right channel: 00ffffff
50,1040760.00000000000000000000,Left channel: 00000523
51,1061240.00000000000000000000,Right channel: 00ffffff
52,1081720.00000000000000000000,Left channel: 000006bc
53,1102200.00000000000000000000,Right channel: 00ffffff
54,1122680.00000000000000000000,Left channel: 000003fb
55,1143160.00000000000000000000,Right channel: 00ffffff
56,1163660.00000000000000000000,Left channel: 00000153
57,1184140.00000000000000000000,Right channel: 00ffffff
58,1204620.00000000000000000000,Left channel: 00fffdc4
59,1225100.00000000000000000000,Right channel: 00ffffff
60,1245580.00000000000000000000,Left channel: 0000032b
61,1266060.00000000000000000000,Right channel: 00ffffff
62,1286540.00000000000000000000,Left channel: 00fffd7a
63,1307040.00000000000000000000,Right channel: 00ffffff
64,1327520.00000000000000000000,Left channel: 00000298
65,1348000.00000000000000000000,Right channel: 00ffffff
66,1368480.00000000000000000000,Left channel: 000001db
67,1388960.00000000000000000000,Right channel: 00ffffff
68,1409440.00000000000000000000,Left channel: 0000001f
69,1429940.00000000000000000000,Right channel: 00ffffff
70,1450420.00000000000000000000,Left channel: 00fffdc2
71,1470900.00000000000000000000,Right channel: 00ffffff
72,1491380.00000000000000000000,Left channel: 00000178
73,1511860.00000000000000000000,Right channel: 00ffffff
74,1532340.00000000000000000000,Left channel: 00000527
75,1552820.00000000000000000000,Right channel: 00ffffff
76,1573320.00000000000000000000,Left channel: 00000411
77,1593800.00000000000000000000,Right channel: 00ffffff
78,1614280.00000000000000000000,Left channel: 000004ec
79,1634760.00000000000000000000,Right channel: 00ffffff
80,1655240.00000000000000000000,Left channel: 00000381
81,1675720.00000000000000000000,Right channel: 00ffffff
82,1696220.00000000000000000000,Left channel: 0000032c
83,1716700.00000000000000000000,Right channel: 00ffffff
84,1737180.00000000000000000000,Left channel: 00ffffce
85,1757660.00000000000000000000,Right channel: 00ffffff
